"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"S","A","20160101","2016","52","2016","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","55854172072.074",,"55854172072.074","0","true","false",
"S","A","20170101","2017","52","2017","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","59152480621.859",,"59152480621.859","0","true","false",
"S","A","20180101","2018","52","2018","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","64407240335.055",,"64407240335.055","0","true","false",
"S","A","20190101","2019","52","2019","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","72955681258.388",,"72955681258.388","0","true","false",
"S","A","20200101","2020","52","2020","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","28161167632.379",,"28161167632.379","0","true","false",
"S","A","20210101","2021","52","2021","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","26460562308.072",,"26460562308.072","0","true","false",
"S","A","20220101","2022","52","2022","132","CPV","Cabo Verde","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","60759286884.523",,"60759286884.523","0","true","false",
"S","A","20120101","2012","52","2012","218","ECU","Ecuador","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","3198352071.66",,"3198352071.66","0","true","false",
"S","A","20120101","2012","52","2012","226","GNQ","Equatorial Guinea","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","3078779378.956",,"3078779378.956","0","true","false",
"S","A","20120101","2012","52","2012","234","FRO","Faeroe Isds","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","361087114.92",,"361087114.92","0","true","false",
"S","A","20120101","2012","52","2012","266","GAB","Gabon","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","2351099942",,"2351099942","0","true","false",
"S","A","20130101","2013","52","2013","218","ECU","Ecuador","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","3460935469.55",,"3460935469.55","0","true","false",
"S","A","20130101","2013","52","2013","234","FRO","Faeroe Isds","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","430731394.02",,"430731394.02","0","true","false",
"S","A","20130101","2013","52","2013","266","GAB","Gabon","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","2589264027",,"2589264027","0","true","false",
